SK_ID_CURR,Prediction,Conclusion
100001,1,Buruk
100005,0,Baik
100013,0,Baik
100028,1,Buruk
100038,1,Buruk
100042,1,Buruk
100057,0,Baik
100065,0,Baik
100066,0,Baik
100067,0,Baik
100074,1,Buruk
100090,0,Baik
100091,0,Baik
100092,1,Buruk
100106,0,Baik
100107,0,Baik
100109,0,Baik
100117,1,Buruk
100128,0,Baik
100141,0,Baik
100150,0,Baik
100168,0,Baik
100169,1,Buruk
100170,1,Buruk
100171,0,Baik
100172,0,Baik
100184,1,Buruk
100187,0,Baik
100212,1,Buruk
100222,0,Baik
100223,0,Baik
100232,0,Baik
100241,1,Buruk
100245,0,Baik
100253,1,Buruk
100256,0,Baik
100271,1,Buruk
100278,1,Buruk
100280,0,Baik
100306,1,Buruk
100311,0,Baik
100312,1,Buruk
100330,0,Baik
100331,0,Baik
100352,1,Buruk
100358,1,Buruk
100367,0,Baik
100382,0,Baik
100384,0,Baik
100385,0,Baik
100386,0,Baik
100399,0,Baik
100404,1,Buruk
100416,1,Buruk
100422,0,Baik
100426,1,Buruk
100438,0,Baik
100444,1,Buruk
100445,0,Baik
100446,1,Buruk
100447,1,Buruk
100450,1,Buruk
100466,0,Baik
100483,1,Buruk
100484,1,Buruk
100494,1,Buruk
100510,0,Baik
100512,1,Buruk
100517,0,Baik
100548,1,Buruk
100551,1,Buruk
100552,0,Baik
100553,0,Baik
100561,0,Baik
100568,0,Baik
100569,0,Baik
100591,0,Baik
100592,1,Buruk
100602,1,Buruk
100607,1,Buruk
100613,1,Buruk
100617,0,Baik
100618,1,Buruk
100622,0,Baik
100625,1,Buruk
100677,0,Baik
100699,0,Baik
100702,0,Baik
100711,1,Buruk
100729,0,Baik
100740,1,Buruk
100744,0,Baik
100745,1,Buruk
100747,0,Baik
100751,1,Buruk
100752,1,Buruk
100753,0,Baik
100754,0,Baik
100760,0,Baik
100762,0,Baik
100763,1,Buruk
100765,0,Baik
100770,1,Buruk
100772,1,Buruk
100777,0,Baik
100791,0,Baik
100792,0,Baik
100797,1,Buruk
100823,0,Baik
100826,0,Baik
100830,1,Buruk
100836,0,Baik
100872,1,Buruk
100910,0,Baik
100913,1,Buruk
100918,0,Baik
100931,0,Baik
100952,1,Buruk
100953,1,Buruk
100965,0,Baik
100970,1,Buruk
100982,1,Buruk
100983,0,Baik
100984,1,Buruk
100987,0,Baik
100997,0,Baik
